Click here for our interactive Dashboard!,,,,,,https://srnav.com/reports/?referrer=google-sheet,,,,,,,
Add New Reports Down Below (english versions only) ⬇️,,,,,,,,,,,,,
verified,srn_id,company,isin,country,publication date,claim full CSRD compliance,auditor,start PDF,end PDF,pages PDF,link,"ESEF-
tagged","SASB industry 
(SICS® Industries)"
yes,tVkXa1OoYn,Netcompany,DK0060952919,Denmark,2025-01-29,TRUE,EY,62,154,93,https://netcompany.com/investor/annual-report/,,Internet Media & Services
yes,4P9CZx30gn,Tryg,DK0060636678,Denmark,2025-01-23,TRUE,PwC,53,131,79,https://tryg.com/sites/tryg.com/files/2025-01/Annual%20Report%202024%20-%20TRYG%20A_S.pdf,,Insurance
yes,u63Ki9uBLF,DSV Panalpina,DK0060079531,Denmark,2025-02-04,TRUE,PwC,42,84,43,https://investor.dsv.com/static-files/d34d3dfc-e1fe-4a25-a2c8-9d736830025a,,Air Freight & Logistics
yes,PtoavXijSQ,Lundbeck,DK0061804697,Denmark,2025-02-04,TRUE,PwC,59,144,86,https://www.lundbeck.com/content/dam/lundbeck-com/masters/global-site/global-site/investors/2024/fy24/Lundbeck%20Annual%20Report%202024.pdf,,Biotechnology & Pharmaceuticals
yes,g5GXXjndDy,Vestas,DK0061539921,Denmark,2025-02-05,TRUE,Deloitte,51,132,82,https://www.vestas.com/content/dam/vestas-com/global/en/investor/reports-and-presentations/financial/2024/fy-2024/Vestas%20Annual%20Report%202024.pdf.coredownload.inline.pdf,,Wind Technology & Project Developers
yes,lvCwvKME40,Demant,DK0060738599,Denmark,2025-02-05,TRUE,PwC,52,117,66,https://assets-we.cas.dgs.com/-/media/demant/shared/new-library-2022/financial-reports/annual-report-english/demant-annual-report-2024_2.pdf?la=en&rev=0487&hash=BF20FE17B1586ABE0B06D808F899EC67,,Medical Equipment & Supplies
yes,kSkHNYvVe0,Pandora,DK0060252690,Denmark,2025-02-05,TRUE,EY,47,101,55,https://ml-eu.globenewswire.com/Resource/Download/edd04a03-bc89-4cc9-8924-4439f5efd4b0,,"Apparel, Accessories & Footwear"
yes,8kFxYzPwEF,Novo Nordisk,DK0062498333,Denmark,2025-02-05,TRUE,Deloitte,46,99,54,https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2025/novo-nordisk-annual-report-2024.pdf,,Biotechnology & Pharmaceuticals
yes,dUq3yzjw72,Ringkjøbing Landbobank,DK0060854669,Denmark,2025-02-05,TRUE,PwC,53,151,99,https://attachment.news.eu.nasdaq.com/aba5d8f5b0b18efd66154512ade0b124d,,Commercial Banks
yes,JKZH9DIUvs,Nykredit,DK000954829,Denmark,2025-02-05,TRUE,EY,30,128,99,https://www.nykredit.com/siteassets/ir/files/financial-reporting/financial-reports/nykredit/2024/nykredit_q4_24_2025-02-05_en.pdf,,Commercial Banks
yes,3Q1YxwYAeJ,Spar Nord Bank,DK0060036564,Denmark,2025-02-05,TRUE,Deloitte,52,111,60,https://attachment.news.eu.nasdaq.com/a264f5d299b19a040d919cc23445a0fcb,,Commercial Banks
yes,wZUyxMROr4,TomTom,NL0013332471,Netherlands,2025-02-05,TRUE,PwC,62,100,39,https://corporate.tomtom.com/static-files/23910bbd-84e1-401d-8bf1-037fe9031d84,,Internet Media & Services
